Krebsart;Alter;Geschlecht;Prävalenzzeitraum;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Darm (C18-C20);75 und älter;männlich;1;7.848;7.929;8.444;9.086;9.472;9.801;10.175;10.240;9.886;10.255;10.420;10.332;10.093;10.577;10.907;10.673
Anus u. Analkanal (C21);0 - 44;weiblich;1;75;75;78;69;69;88;79;81;82;72;82;74;85;74;75;71
Anus u. Analkanal (C21);0 - 44;männlich;1;49;44;45;54;54;54;60;50;45;54;60;63;45;44;55;57
Anus u. Analkanal (C21);45 - 54;weiblich;1;136;153;143;152;165;205;200;211;220;233;254;217;251;255;242;230
Anus u. Analkanal (C21);45 - 54;männlich;1;79;75;83;103;102;129;122;116;103;141;143;140;137;130;121;146
Anus u. Analkanal (C21);55 - 64;weiblich;1;177;187;177;168;181;216;244;219;254;260;309;287;357;316;354;361
Anus u. Analkanal (C21);55 - 64;männlich;1;108;100;105;128;126;145;132;147;127;161;161;181;170;188;188;238
Anus u. Analkanal (C21);65 - 74;weiblich;1;183;212;196;208;224;254;271;231;239;243;262;273;279;302;285;290
Anus u. Analkanal (C21);65 - 74;männlich;1;103;99;112;138;144;165;161;145;132;152;175;159;156;170;159;204
Anus u. Analkanal (C21);75 und älter;weiblich;1;250;244;268;261;258;318;324;298;333;334;357;337;360;375;372;408
Anus u. Analkanal (C21);75 und älter;männlich;1;76;83;81;110;105;141;130;129;128;152;169;166;178;177;168;231
Leber (C22);0 - 44;weiblich;1;38;50;40;43;47;44;44;60;54;55;54;44;39;51;42;51
Leber (C22);0 - 44;männlich;1;65;66;67;67;67;60;61;70;66;67;64;65;66;64;66;62
Leber (C22);45 - 54;weiblich;1;63;86;75;92;87;95;88;118;104;118;128;114;113;123;104;108
Leber (C22);45 - 54;männlich;1;214;212;236;259;247;261;287;256;254;272;280;274;276;260;250;191
Leber (C22);55 - 64;weiblich;1;149;169;163;183;199;201;203;238;236;282;299;264;264;309;265;315
Leber (C22);55 - 64;männlich;1;599;612;604;710;731;682;729;756;722;850;889;903;901;854;843;735
